"a1","(Part.): an, dicht bei (wh 169); gät um a Ring a sî Finger o Schuo a d'Füeß (Stalder 1819: UL); an a Zunn (wh 194); a de Tiechsla (Dü1); SYN: aan. • Raa.: ann ùd wann hie und da (Ta1 Gi1); wägen är het o ann ùd wann a böesa Chopf (pb Isi17); ↑aḷbeniinisch. • a mer, a mier an mir, an mich, mein (wh 134, 165).","[auch an1 (vor Vokalen)]"
"a2","(Art.): eine, einer; Nom. od. Akk. mask. od. fem. (allg. / wh 134, 169); fùrn a Wann vor eine Wand (wh 194); an Iigelega ein Empfindsamer, Heikler (wh 19); het gfragt ebi a Fürtüfel bimer hege (FZ 22.3.1892); vgl. Anhang 2.","[auch an2 (vor Vokalen)]"
"ä"," s. äär.",""
"a bitz","s. bitz.",""
"a Blätz","s. Blätz.",""
"a Gueta","s. guet.",""
"a jedes","s. jeda.",""
"a kina","s. kina.",""
"a kis","s. ki.",""
"a newes","s. nöwis.",""
"a wee","s. wee.",""
"aab"," s. ab.",""
"Aabe","(m, -ne/-te): Abend (sds 6,13 / wh 169, 183); i mache aube graad a Pfaneta Thee am Aabe (Üb1); ‡Taag. ZSS: Für~.","[Id 1,134]"
"ääbe","(-ner, -nscht): eben, flach (wh 104, 128); SYN: ääbesawägg, flach. ZSS: blatti~.",""
"ääbedsi"," s. ääbezi.",""
"Ääbeni","(f, -e): Ebene (wh 128).",""
"aaber","(-er, -scht): aper, a) schneefrei, zB auf Stras-se, Wiese (allg1 ML2 OL2; sds 6,59: SE / wh 58, 138); b) abgeweidet, graslos (Gu1 Ta2 We1).","[auch eeber (sds: Pl / wh), aaper (Fr1 Ta2) (r) zu mhd âber 'trocken u. warm nach Nässe u- Kälte' (r) Id 1,39]"
"aabere","(gg-et): aper, schneefrei werden (Gu1 SE1 Üb2 He2 We2 OL2; sds 6,59: Gi Ss / wh 211); ‡wättere. ↑ schmöḷze, trochne.","[zu aaber (r) Id 1,39]"
"Aabesitz","(m, -e): Zusammensitzen der Nachbarn am Abend (sds 5,17: Ta); SYN: Chǜḷt. • Ra.: z Aabesitz gaa (sds: Ta).","[Id 7,1726]"
"ääbes·awägg","(Part.): a) flach, ohne Höhendifferenz (wh 180); SYN: ääbe, ääbezi. b) flach, bis auf die Wurzeln, zB abschneiden (wh 180).",""
"ääbe·voḷ","(k. Steig.): a) randvoll: dù lieba, gueta Santi Klous, hesch ds Hùttli ùmi ääbevous (ms 83); b) betrunken (Ta2).",""
"ääbezi","(Part.): flach, ohne Höhendifferenz (pb S-7). SYN: ääbesawägg.","[auch ääbedsi (Volkskalender 1996,59) (r) ev. aus *ääbe-zùy (wie hinder-zùy) od. analog zu Wörtern wie hindertsi ]"
"aabfaare"," s. abfaare.",""
"Ääbi","(m, -eni): ❶ Efeu (He1); ‡Studa. SYN: Eföy. ↑ Bùchs, Immergrüen, Zesibùùm. ❷ Familienname Aeby.","[ahd abah 'Efeuranke' (r) Id 1,43: Ebi (BE-See); Ebe (BE, LU); Bosshard 1978,236]"
"aabine","(-pùne): a) anbinden, binden (sds 8,37); det wa dr Heiland an ara Stùùt aapùnna isch (pb Isi26); SYN: aazittere, yybine. b) gebunden sein: i verdiene mee, has mǜnder bös ù bǜ nit a so aapùnna kann machen, was ich will (übertr. / pb S-8).",""
"aablüeme","(-plüemet/-t): säen, anpflanzen, zB Klee: är het im Hörbscht frǜsch aaplüemt (Gu1 Üb1); ‡pflanze.","[zu Blueme in Bed. 'Blühen, Blüte des Grases', vgl. Höwblueme (r) Id 5,94]"
"Aabrele"," s. Abrele.",""
"aabrentele","(-prentelet): a) anbrennen (Haas: Pl); ↑vùrsprätzle. b) verbrannt riechen (Haas: Pl; pk).","[auch aabräntele (pk)]"
"aabrüele","(-prüelet): anherrschen, anschreien (Ta1 Gi1 / wh 168). ↑sandutte.","[auch aambrüele (wh)]"
"Aabsatz"," s. Absatz.",""
"aabtechle"," s. abtechle.",""
"Aab·rächeta"," s. Abrächeta.",""
"aachammle","(-gchammlet): immer wieder zu überreden versuchen: näy tüe si [= d Vùriine] iim aachammle byzträtte (fa Josi13); SYN: aaranze.","[ev. zu Chammla (r) fehlt in Ma-Wbb; nur Id 3,298: kambeln 'Wolle kämmen; mühselig arbeiten']"
"aache","(gg-et): stöhnen der Kuh, wenn sie vollgefressen ist, mühsam verdaut (sds 8,23: Pl). SYN: pyyschte.","[mhd achen, achzen 'ach sagen, ächzen'; zur Interj. ach! (Id) (r) Id 1,65: 'jammern' (BE)]"
"aachoo","(-choo): ankommen (allg.); we dî Sohn âchont, der met de Schlööpfe alls verhodlet hät (Stalder 1819: OL).",""
"Aadera","(f, -e): Ader, Blutgefäss (wh 127, 189); ↑Bluet. ZSS: Bluet~, Schlaaf~, Schlaag~, Spann~. • Ra.: procheni Aadera Krampfader: we si scho am Morge iiras prochene Aadere mit elastische Bine yypùne het (pb Isi23).",""
"aafaa","(-gfange): anfangen, beginnen (Wü2 Gi1 / wh 168); aafaa bätte (wh 206); se hei agfange se lustig z'mache (Stalder 1819: UL); afa triiche zu trinken beginnen (ms 123); faa nùme aa (pk); SYN: aariise, aggǜne, looslaa.","[auch aamfaa (wh), afa (unbetont: ms)]"
"Aafaḷ","(m, -ä-): Anfall, zB Tobsuchts-, Schmerz-, epileptischer Anfall: mit zweine erwachsene Miitleni, wa ging dr Aafall ǜberchoe hi (pm 69); ↑Wee.",""
"aafüüre","(-gfüüret): ❶ Feuer entfachen (Gi2); ❷ Mannschaft anfeuern, unterstützen (Wü1 Ss2); SYN: fääne.",""
"aafygge","(-gfygget): plagen, necken, bes. wenn betrunken (derb / Pl2). ↑höḷke.",""
"aagaa","(-ggange): ❶ betreffen. ❷ a) angehen, anpacken: im Wyybärg ääne giit de Läset an (ms 42); ↑zùyspringe. b) anstellen: eppis jùscht aangaa (ar).",""
"aagää","(-ggää): ❶ anschieben (allg.); ❷ a) angeben, prahlen: hooj aagää (Fr1); SYN: plodere. b) einen Bären aufbinden (Gu1); hii se mer nùmen epis Flaags welen aangää? (pb Spät112); ↑lǜǜge. ❸ bellen vom Hund, markieren: i de Necht, wan es gstǜǜrmt het (...), denn het er aaggää (pb Spät116); ↑brüele.","[auch aangää (pb)]"
"aagänds"," s. aageends.",""
